date_found,company,title,location,area_group,visa_bucket,fit_score,link,application_status,visa_reason,work_model,date_posted,job_id
2026-09-17,TTM Technologies,Quality Engineer Intern (Summer 2027),"Syracuse, NY",Northeast,A - Likely OK,65,https://jobright.ai/jobs/info/6aac297f3dbb1f8967ce91f7,,Description mentions 'h1b',On Site,2026-09-17,6aac297f3dbb1f8967ce91f7
2026-09-17,Kaleidoscope Innovation,Spring 2027 Mechanical Engineering Co-op,"Cincinnati, OH",Midwest,B - Unclear,61,https://jobright.ai/jobs/info/6a93c8a1c12c90443efccb1b,,No job description available - visa status not stated,On Site,2026-09-17,6a93c8a1c12c90443efccb1b
2026-09-17,Nutanix,Systems Reliability Engineer Intern — Product Support (Summer 2027),"Durham, NC",Southeast,B - Unclear,61,https://jobright.ai/jobs/info/6aac2cdc2e757fcb5c8b425a,,No job description available - visa status not stated,Hybrid,2026-09-17,6aac2cdc2e757fcb5c8b425a
2026-09-17,"Sumitomo Electric Wiring Systems, Inc.",Mechanical Engineering Co-op Student/Intern (On-site Position),"Farmington Hills, MI",Midwest,B - Unclear,61,https://jobright.ai/jobs/info/6aac2cee636cddf7396f2a6c,,No job description available - visa status not stated,On Site,2026-09-17,6aac2cee636cddf7396f2a6c
2026-09-17,The Foth Companies,Mechanical Packaging Systems Engineering Intern (Summer 2027),"Green Bay, WI",Midwest,B - Unclear,61,https://jobright.ai/jobs/info/6a99b7e98a8b765bc55f503b,,No job description available - visa status not stated,On Site,2026-09-17,6a99b7e98a8b765bc55f503b
2026-09-17,X-energy,Mechanical Engineering Internship - Summer 2027,"Gaithersburg, MD",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aac12793e3ce93970c7b803,,No job description available - visa status not stated,On Site,2026-09-17,6aac12793e3ce93970c7b803
2026-09-17,X-energy,Test Engineering Internship - Summer 2027,"Rockville, MD",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aac126695c707f49dfef506,,No job description available - visa status not stated,On Site,2026-09-17,6aac126695c707f49dfef506
2026-09-17,OMCO,Engineering Intern – Summer 2027,"Wickliffe, OH",Midwest,A - Likely OK,57,https://jobright.ai/jobs/info/6aac2b9595c707f49dfefe44,,Description mentions 'visa sponsorship',On Site,2026-09-17,6aac2b9595c707f49dfefe44
2026-09-17,Lennox,AI Engineering Intern Summer 2027,"Richardson, TX",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac28c83d96632d741a97bf,,No job description available - visa status not stated,On Site,2026-09-17,6aac28c83d96632d741a97bf
2026-09-17,Lennox,Hardware Engineering Fall Co-op,"Carrollton, TX",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6aac28b495c707f49dfefcbd,,No job description available - visa status not stated,On Site,2026-09-17,6aac28b495c707f49dfefcbd
